barcode,comp,fstation,pool,stratum,DATE,z15east,z15north,vel,vel_qf,date,year,month,day,reach,cfs,q_cat,vq_ratio,dataset
13011439,f,3,13,BWC-S,07/30/2024,713758,4682301,0,NA,2024-07-30T05:00:00Z,2024,7,30,13,74000, High,0,train
13001393,f,3,13,UXO,07/08/1996,714158,4682200,0.05,NA,1996-07-08T05:00:00Z,1996,7,8,13,73800, High,0.6775067750677507,train
13007816,f,3,13,BWC-S,07/14/2014,713808,4682151,0.18,NA,2014-07-14T05:00:00Z,2014,7,14,13,122100, High,1.4742014742014742,train
13007068,f,3,13,BWC-S,07/09/2012,713808,4682050,0,NA,2012-07-09T05:00:00Z,2012,7,9,13,67900, High,0,train
13000262,f,3,13,TWZ,08/31/1993,712881,4682045,0.38,NA,1993-08-31T05:00:00Z,1993,8,31,13,94500, High,4.021164021164021,train
13002788,f,3,13,TWZ,07/27/1999,712881,4682045,0.89,NA,1999-07-27T05:00:00Z,1999,7,27,13,88100, High,10.102156640181612,train
13002271,f,3,13,TWZ,07/06/1998,712881,4682045,0.2,NA,1998-07-06T05:00:00Z,1998,7,6,13,126300, High,1.583531274742676,train
13006783,f,3,13,TWZ,08/05/2011,712881,4682045,0.74,NA,2011-08-05T05:00:00Z,2011,8,5,13,92100, High,8.034744842562432,train
13006470,f,3,13,TWZ,07/29/2010,712881,4682045,1.04,NA,2010-07-29T05:00:00Z,2010,7,29,13,88100, High,11.80476730987514,train
13006743,f,3,13,TWZ,07/14/2011,712881,4682045,0.78,NA,2011-07-14T05:00:00Z,2011,7,14,13,86100, High,9.059233449477352,test
13008658,f,3,13,TWZ,09/08/2016,712881,4682045,0.65,NA,2016-09-08T05:00:00Z,2016,9,8,13,74900, High,8.678237650200266,train
13008659,f,3,13,TWZ,09/08/2016,712881,4682045,0.63,NA,2016-09-08T05:00:00Z,2016,9,8,13,74900, High,8.411214953271028,train
13008660,f,3,13,TWZ,09/08/2016,712881,4682045,0.63,NA,2016-09-08T05:00:00Z,2016,9,8,13,74900, High,8.411214953271028,train
13008661,f,3,13,TWZ,09/08/2016,712881,4682045,0.6,NA,2016-09-08T05:00:00Z,2016,9,8,13,74900, High,8.01068090787717,train
13008569,f,3,13,TWZ,07/19/2016,712881,4682045,0.54,NA,2016-07-19T05:00:00Z,2016,7,19,13,65800, High,8.206686930091186,train
13008570,f,3,13,TWZ,07/19/2016,712881,4682045,0.54,NA,2016-07-19T05:00:00Z,2016,7,19,13,65800, High,8.206686930091186,train
13008571,f,3,13,TWZ,07/19/2016,712881,4682045,0.57,NA,2016-07-19T05:00:00Z,2016,7,19,13,65800, High,8.662613981762917,train
13008572,f,3,13,TWZ,07/19/2016,712881,4682045,0.54,NA,2016-07-19T05:00:00Z,2016,7,19,13,65800, High,8.206686930091186,train
13009299,f,3,13,TWZ,08/01/2018,712881,4682045,0.68,NA,2018-08-01T05:00:00Z,2018,8,1,13,67900, High,10.014727540500736,train
13009300,f,3,13,TWZ,08/01/2018,712881,4682045,0.68,NA,2018-08-01T05:00:00Z,2018,8,1,13,67900, High,10.014727540500736,test
13009301,f,3,13,TWZ,08/01/2018,712881,4682045,0.68,NA,2018-08-01T05:00:00Z,2018,8,1,13,67900, High,10.014727540500736,train
13009302,f,3,13,TWZ,08/01/2018,712881,4682045,0.68,NA,2018-08-01T05:00:00Z,2018,8,1,13,67900, High,10.014727540500736,train
13008809,f,3,13,TWZ,10/31/2016,712881,4682045,0.67,NA,2016-10-31T05:00:00Z,2016,10,31,13,91000, High,7.362637362637363,train
13008810,f,3,13,TWZ,10/31/2016,712881,4682045,0.67,NA,2016-10-31T05:00:00Z,2016,10,31,13,91000, High,7.362637362637363,train
13008807,f,3,13,TWZ,10/31/2016,712881,4682045,0.67,NA,2016-10-31T05:00:00Z,2016,10,31,13,91000, High,7.362637362637363,train
13008808,f,3,13,TWZ,10/31/2016,712881,4682045,0.67,NA,2016-10-31T05:00:00Z,2016,10,31,13,91000, High,7.362637362637363,train
13009978,f,3,13,TWZ,07/06/2020,712881,4682045,1.28,NA,2020-07-06T05:00:00Z,2020,7,6,13,83700, High,15.292712066905617,train
13009979,f,3,13,TWZ,07/06/2020,712881,4682045,1.28,NA,2020-07-06T05:00:00Z,2020,7,6,13,83700, High,15.292712066905617,train
13009980,f,3,13,TWZ,07/06/2020,712881,4682045,1.28,NA,2020-07-06T05:00:00Z,2020,7,6,13,83700, High,15.292712066905617,train
13009981,f,3,13,TWZ,07/06/2020,712881,4682045,1.28,NA,2020-07-06T05:00:00Z,2020,7,6,13,83700, High,15.292712066905617,test
13009531,f,3,13,TWZ,10/31/2018,712881,4682045,0.67,NA,2018-10-31T05:00:00Z,2018,10,31,13,102700, High,6.523855890944499,train
13009532,f,3,13,TWZ,10/31/2018,712881,4682045,0.67,NA,2018-10-31T05:00:00Z,2018,10,31,13,102700, High,6.523855890944499,train
