barcode,comp,fstation,pool,stratum,DATE,z15east,z15north,vel,vel_qf,date,year,month,day,reach,cfs,q_cat,vq_ratio,dataset
11000862,f,1,4,BWC-S,06/15/1995,572079,4918958,0.01,NA,1995-06-15T05:00:00Z,1995,6,15,4l,49100, High,0.20366598778004072,train
11009394,f,1,4,BWC-S,07/22/2024,572079,4918958,0.02,NA,2024-07-22T05:00:00Z,2024,7,22,4l,62800, High,0.3184713375796178,train
11001117,f,1,4,BWC-S,08/22/1995,571279,4918908,0,NA,1995-08-22T05:00:00Z,1995,8,22,4l,47900, High,0,train
11003696,f,1,4,BWC-O,07/05/2001,572079,4918908,0.02,NA,2001-07-05T05:00:00Z,2001,7,5,4l,55600, High,0.3597122302158274,train
11003668,f,1,4,BWC-S,06/27/2001,571279,4918908,0.13,NA,2001-06-27T05:00:00Z,2001,6,27,4l,97800, High,1.329243353783231,train
31016149,v,1,4,BWC-L,7/9/2024,571184,4918860,0.23,NA,2024-07-09T05:00:00Z,2024,7,9,4l,119200, High,1.929530201342282,train
11000162,f,1,4,BWC-S,08/12/1993,572179,4918858,0,NA,1993-08-12T05:00:00Z,1993,8,12,4l,68700, High,0,train
11008017,f,1,4,BWC-S,10/11/2018,571429,4918808,0.05,NA,2018-10-11T05:00:00Z,2018,10,11,4l,59100, High,0.8460236886632826,train
11005925,f,1,4,BWC-S,07/25/2011,571079,4918758,0.12,NA,2011-07-25T05:00:00Z,2011,7,25,4l,69700, High,1.721664275466284,train
11009374,f,1,4,BWC-S,07/17/2024,571129,4918758,0.1,NA,2024-07-17T05:00:00Z,2024,7,17,4l,83700, High,1.1947431302270013,test
11007477,f,1,4,BWC-S,10/25/2016,572229,4918708,0,NA,2016-10-25T05:00:00Z,2016,10,25,4l,53700, High,0,train
11008259,f,1,4,BWC-S,10/07/2019,571229,4918708,0.14,NA,2019-10-07T05:00:00Z,2019,10,7,4l,99900, High,1.4014014014014016,train
11004357,f,1,4,BWC-S,06/25/2004,571479,4918658,0.02,NA,2004-06-25T05:00:00Z,2004,6,25,4l,57700, High,0.3466204506065858,train
11004076,f,1,4,BWC-S,07/02/2002,571629,4918608,0.02,NA,2002-07-02T05:00:00Z,2002,7,2,4l,62900, High,0.3179650238473768,train
11006705,f,1,4,BWC-S,07/20/2014,571579,4918608,0.03,NA,2014-07-20T05:00:00Z,2014,7,20,4l,58600, High,0.5119453924914675,train
11007301,f,1,4,BWC-S,08/01/2016,571479,4918608,0,NA,2016-08-01T05:00:00Z,2016,8,1,4l,64600, High,0,train
11008327,f,1,4,BWC-S,07/07/2020,571529,4918608,0,NA,2020-07-07T05:00:00Z,2020,7,7,4l,50600, High,0,train
11009375,f,1,4,BWC-S,07/17/2024,572029,4918608,0.04,NA,2024-07-17T05:00:00Z,2024,7,17,4l,83700, High,0.47789725209080053,train
11004077,f,1,4,BWC-S,07/02/2002,571779,4918558,0.02,NA,2002-07-02T05:00:00Z,2002,7,2,4l,62900, High,0.3179650238473768,train
11005663,f,1,4,BWC-S,06/24/2010,571879,4918558,0,NA,2010-06-24T05:00:00Z,2010,6,24,4l,48300, High,0,test
41001139,w,1,4,BWC,04/19/1994,571429,4918508,0.12,NA,1994-04-19T05:00:00Z,1994,4,19,4l,65700, High,1.82648401826484,train
41001141,w,1,4,BWC,04/19/1994,572229,4918508,0.06,NA,1994-04-19T05:00:00Z,1994,4,19,4l,65700, High,0.91324200913242,train
11000726,f,1,4,BWC-O,09/19/1994,572079,4918458,0.01,NA,1994-09-19T05:00:00Z,1994,9,19,4l,59100, High,0.1692047377326565,train
11005976,f,1,4,BWC-S,08/03/2011,571679,4918408,0.03,NA,2011-08-03T05:00:00Z,2011,8,3,4l,60000, High,0.5,train
31016152,v,1,4,BWC-L,7/9/2024,571533,4918406,0.17,NA,2024-07-09T05:00:00Z,2024,7,9,4l,119200, High,1.4261744966442953,train
11001289,f,1,4,BWC-O,10/17/1995,571929,4918358,0,NA,1995-10-17T05:00:00Z,1995,10,17,4l,51000, High,0,train
11007230,f,1,4,BWC-S,06/24/2016,572179,4918358,0.07,NA,2016-06-24T05:00:00Z,2016,6,24,4l,48800, High,1.4344262295081969,train
41020233,w,1,4,MC,05/02/2011,572029,4918308,0.15,NA,2011-05-02T05:00:00Z,2011,5,2,4l,101300, High,1.4807502467917077,train
41020538,w,1,4,MC,07/27/2011,572029,4918308,0.15,NA,2011-07-27T05:00:00Z,2011,7,27,4l,70400, High,2.1306818181818183,train
41023148,w,1,4,MC,05/05/2014,572029,4918308,0.16,NA,2014-05-05T05:00:00Z,2014,5,5,4l,134700, High,1.1878247958426131,test
41029580,w,1,4,MC,04/28/2021,571229,4918308,0.44,NA,2021-04-28T05:00:00Z,2021,4,28,4l,47400, High,9.282700421940929,train
11005926,f,1,4,BWC-S,07/25/2011,572329,4918308,0.05,NA,2011-07-25T05:00:00Z,2011,7,25,4l,69700, High,0.7173601147776184,train
11007304,f,1,4,MCB-U,08/01/2016,572029,4918308,0.03,NA,2016-08-01T05:00:00Z,2016,8,1,4l,64600, High,0.46439628482972134,train
11007305,f,1,4,MCB-U,08/01/2016,572029,4918308,0.03,NA,2016-08-01T05:00:00Z,2016,8,1,4l,64600, High,0.46439628482972134,train
11001898,f,1,4,MCB-U,07/10/1997,571429,4918258,0.23,NA,1997-07-10T05:00:00Z,1997,7,10,4l,52500, High,4.380952380952381,train
11004245,f,1,4,MCB-U,10/22/2002,572379,4918208,0.05,NA,2002-10-22T05:00:00Z,2002,10,22,4l,46800, High,1.0683760683760684,train
11005656,f,1,4,MCB-U,06/23/2010,572029,4918208,0.06,NA,2010-06-23T05:00:00Z,2010,6,23,4l,47700, High,1.257861635220126,train
11005657,f,1,4,MCB-U,06/23/2010,572029,4918208,0.06,NA,2010-06-23T05:00:00Z,2010,6,23,4l,47700, High,1.257861635220126,train
31016386,v,1,4,BWI,6/20/2024,579131,4918163,0.08,NA,2024-06-20T05:00:00Z,2024,6,20,4l,97700, High,0.8188331627430911,train
11007759,f,1,4,MCB-U,10/30/2017,572429,4918158,0.14,NA,2017-10-30T05:00:00Z,2017,10,30,4l,52300, High,2.676864244741874,test
11009478,f,1,4,MCB-U,08/12/2024,572429,4918158,0.11,NA,2024-08-12T05:00:00Z,2024,8,12,4l,46100, High,2.386117136659436,train
41018338,w,1,4,MC,04/23/2009,571829,4918108,0.26,NA,2009-04-23T05:00:00Z,2009,4,23,4l,47900, High,5.427974947807933,train
41020225,w,1,4,MC,05/02/2011,571229,4918108,0.74,NA,2011-05-02T05:00:00Z,2011,5,2,4l,101300, High,7.305034550839091,train
41020229,w,1,4,MC,05/02/2011,572229,4918108,0.47,NA,2011-05-02T05:00:00Z,2011,5,2,4l,101300, High,4.639684106614017,train
41020540,w,1,4,MC,07/27/2011,571629,4918108,0.72,NA,2011-07-27T05:00:00Z,2011,7,27,4l,70400, High,10.227272727272727,train
41022105,w,1,4,MC,04/30/2013,571828,4918108,0.3,NA,2013-04-30T05:00:00Z,2013,4,30,4l,77800, High,3.8560411311053984,train
41026005,w,1,4,MC,05/02/2017,572229,4918108,0.44,NA,2017-05-02T05:00:00Z,2017,5,2,4l,75000, High,5.866666666666666,train
41026006,w,1,4,MC,05/02/2017,571229,4918108,0.68,NA,2017-05-02T05:00:00Z,2017,5,2,4l,75000, High,9.066666666666666,train
41028160,w,1,4,MC,07/22/2019,571829,4918108,0.56,NA,2019-07-22T05:00:00Z,2019,7,22,4l,86800, High,6.451612903225808,train
41028161,w,1,4,MC,07/22/2019,571429,4918108,0.75,NA,2019-07-22T05:00:00Z,2019,7,22,4l,86800, High,8.640552995391705,test
41030576,w,1,4,MC,04/28/2022,572429,4918108,0.32,NA,2022-04-28T05:00:00Z,2022,4,28,4l,70300, High,4.551920341394025,train
11000201,f,1,4,MCB-U,08/19/1993,572079,4918108,0.43,NA,1993-08-19T05:00:00Z,1993,8,19,4l,57600, High,7.465277777777778,train
11006692,f,1,4,MCB-U,07/14/2014,572179,4918108,0.46,NA,2014-07-14T05:00:00Z,2014,7,14,4l,71500, High,6.433566433566433,train
11006693,f,1,4,MCB-U,07/14/2014,572179,4918108,0.46,NA,2014-07-14T05:00:00Z,2014,7,14,4l,71500, High,6.433566433566433,train
11007302,f,1,4,MCB-U,08/01/2016,572029,4918108,0.47,NA,2016-08-01T05:00:00Z,2016,8,1,4l,64600, High,7.275541795665634,train
11007303,f,1,4,MCB-U,08/01/2016,572029,4918108,0.47,NA,2016-08-01T05:00:00Z,2016,8,1,4l,64600, High,7.275541795665634,train
11009476,f,1,4,MCB-U,08/12/2024,571529,4918108,0.58,NA,2024-08-12T05:00:00Z,2024,8,12,4l,46100, High,12.581344902386114,train
11009477,f,1,4,MCB-U,08/12/2024,571529,4918108,0.58,NA,2024-08-12T05:00:00Z,2024,8,12,4l,46100, High,12.581344902386114,train
41026965,w,1,4,MC,04/30/2018,571229,4918107,0.79,NA,2018-04-30T05:00:00Z,2018,4,30,4l,125400, High,6.299840510366827,train
