barcode,comp,fstation,pool,stratum,DATE,z15east,z15north,vel,vel_qf,date,year,month,day,reach,cfs,q_cat,vq_ratio,dataset
11002310,f,1,4,SCB,07/08/1998,513478,4936408,0.75,NA,1998-07-08T05:00:00Z,1998,7,8,4u,52300, High,14.340344168260037,train
11002311,f,1,4,SCB,07/08/1998,513478,4936408,0.75,NA,1998-07-08T05:00:00Z,1998,7,8,4u,52300, High,14.340344168260037,train
11007366,f,1,4,SCB,08/29/2016,530629,4939408,0.04,NA,2016-08-29T05:00:00Z,2016,8,29,4u,59900, High,0.667779632721202,train
11009368,f,1,4,SCB,07/16/2024,530629,4939058,0.44,NA,2024-07-16T05:00:00Z,2024,7,16,4u,87800, High,5.011389521640091,train
11001268,f,1,4,SCB,10/11/1995,530679,4939408,0,NA,1995-10-11T05:00:00Z,1995,10,11,4u,55200, High,0,train
11001923,f,1,4,BWC-S,07/30/1997,530679,4939408,0,NA,1997-07-30T05:00:00Z,1997,7,30,4u,63500, High,0,train
11005781,f,1,4,MCB-U,10/11/2010,530979,4939858,0.39,NA,2010-10-11T05:00:00Z,2010,10,11,4u,88200, High,4.421768707482993,train
11008060,f,1,4,SCB,06/25/2019,530979,4939408,0.02,NA,2019-06-25T05:00:00Z,2019,6,25,4u,54400, High,0.3676470588235294,train
11000091,f,1,4,TWZ,07/26/1993,530985,4940020,0.06,NA,1993-07-26T05:00:00Z,1993,7,26,4u,83600, High,0.7177033492822967,train
11000213,f,1,4,TWZ,08/23/1993,530985,4940020,0.41,NA,1993-08-23T05:00:00Z,1993,8,23,4u,63800, High,6.426332288401254,test
11000214,f,1,4,TWZ,08/23/1993,530985,4940020,0.41,NA,1993-08-23T05:00:00Z,1993,8,23,4u,63800, High,6.426332288401254,train
11000215,f,1,4,TWZ,08/23/1993,530985,4940020,0.04,NA,1993-08-23T05:00:00Z,1993,8,23,4u,63800, High,0.6269592476489029,train
11000216,f,1,4,TWZ,08/23/1993,530985,4940020,0.04,NA,1993-08-23T05:00:00Z,1993,8,23,4u,63800, High,0.6269592476489029,train
11001135,f,1,4,TWZ,09/05/1995,530985,4940020,0.29,NA,1995-09-05T05:00:00Z,1995,9,5,4u,50400, High,5.753968253968253,train
11003156,f,1,4,TWZ,06/27/2000,530985,4940020,0.09,NA,2000-06-27T05:00:00Z,2000,6,27,4u,50400, High,1.7857142857142858,train
11003157,f,1,4,TWZ,06/27/2000,530985,4940020,0.09,NA,2000-06-27T05:00:00Z,2000,6,27,4u,50400, High,1.7857142857142858,train
11003158,f,1,4,TWZ,06/27/2000,530985,4940020,0.09,NA,2000-06-27T05:00:00Z,2000,6,27,4u,50400, High,1.7857142857142858,train
11003211,f,1,4,TWZ,07/19/2000,530985,4940020,0.37,NA,2000-07-19T05:00:00Z,2000,7,19,4u,46200, High,8.008658008658008,train
11002671,f,1,4,TWZ,06/16/1999,530985,4940020,0.44,NA,1999-06-16T05:00:00Z,1999,6,16,4u,50800, High,8.661417322834646,train
11002672,f,1,4,TWZ,06/16/1999,530985,4940020,0.44,NA,1999-06-16T05:00:00Z,1999,6,16,4u,50800, High,8.661417322834646,test
11002673,f,1,4,TWZ,06/16/1999,530985,4940020,0.44,NA,1999-06-16T05:00:00Z,1999,6,16,4u,50800, High,8.661417322834646,train
11002674,f,1,4,TWZ,06/16/1999,530985,4940020,0.44,NA,1999-06-16T05:00:00Z,1999,6,16,4u,50800, High,8.661417322834646,train
11001131,f,1,4,TWZ,09/05/1995,531009,4939853,0.47,NA,1995-09-05T05:00:00Z,1995,9,5,4u,50400, High,9.325396825396826,train
11000090,f,1,4,TWZ,07/26/1993,531009,4939853,0.08,NA,1993-07-26T05:00:00Z,1993,7,26,4u,83600, High,0.9569377990430623,train
11001110,f,1,4,TWZ,08/18/1995,531009,4939853,0.4,NA,1995-08-18T05:00:00Z,1995,8,18,4u,62300, High,6.420545746388442,train
11000210,f,1,4,TWZ,08/23/1993,531009,4939853,0.75,NA,1993-08-23T05:00:00Z,1993,8,23,4u,63800, High,11.755485893416928,train
11000211,f,1,4,TWZ,08/23/1993,531009,4939853,0.75,NA,1993-08-23T05:00:00Z,1993,8,23,4u,63800, High,11.755485893416928,train
11000212,f,1,4,TWZ,08/23/1993,531009,4939853,0.01,NA,1993-08-23T05:00:00Z,1993,8,23,4u,63800, High,0.15673981191222572,train
11000217,f,1,4,TWZ,08/23/1993,531009,4939853,0.06,NA,1993-08-23T05:00:00Z,1993,8,23,4u,63800, High,0.9404388714733543,train
11001294,f,1,4,TWZ,10/18/1995,531009,4939853,0.73,NA,1995-10-18T05:00:00Z,1995,10,18,4u,51200, High,14.2578125,test
11003210,f,1,4,TWZ,07/19/2000,531009,4939853,0.25,NA,2000-07-19T05:00:00Z,2000,7,19,4u,46200, High,5.411255411255411,train
11003160,f,1,4,TWZ,06/27/2000,531009,4939853,0.33,NA,2000-06-27T05:00:00Z,2000,6,27,4u,50400, High,6.5476190476190474,train
11003153,f,1,4,TWZ,06/27/2000,531009,4939853,0.03,NA,2000-06-27T05:00:00Z,2000,6,27,4u,50400, High,0.5952380952380952,train
11003154,f,1,4,TWZ,06/27/2000,531009,4939853,0.03,NA,2000-06-27T05:00:00Z,2000,6,27,4u,50400, High,0.5952380952380952,train
11003155,f,1,4,TWZ,06/27/2000,531009,4939853,0.27,NA,2000-06-27T05:00:00Z,2000,6,27,4u,50400, High,5.357142857142857,train
11003159,f,1,4,TWZ,06/27/2000,531009,4939853,0.33,NA,2000-06-27T05:00:00Z,2000,6,27,4u,50400, High,6.5476190476190474,train
11002669,f,1,4,TWZ,06/16/1999,531009,4939853,0.14,NA,1999-06-16T05:00:00Z,1999,6,16,4u,50800, High,2.755905511811024,train
11002670,f,1,4,TWZ,06/16/1999,531009,4939853,0.14,NA,1999-06-16T05:00:00Z,1999,6,16,4u,50800, High,2.755905511811024,train
11002675,f,1,4,TWZ,06/16/1999,531009,4939853,0.08,NA,1999-06-16T05:00:00Z,1999,6,16,4u,50800, High,1.574803149606299,train
11002676,f,1,4,TWZ,06/16/1999,531009,4939853,0.08,NA,1999-06-16T05:00:00Z,1999,6,16,4u,50800, High,1.574803149606299,test
11005847,f,1,4,TWZ,10/18/2010,531015,4940038,0.17,NA,2010-10-18T05:00:00Z,2010,10,18,4u,56900, High,2.987697715289982,train
11005840,f,1,4,TWZ,10/18/2010,531015,4940038,0.31,NA,2010-10-18T05:00:00Z,2010,10,18,4u,56900, High,5.448154657293497,train
11005841,f,1,4,TWZ,10/18/2010,531015,4940038,0.31,NA,2010-10-18T05:00:00Z,2010,10,18,4u,56900, High,5.448154657293497,train
11005842,f,1,4,TWZ,10/18/2010,531015,4940038,0.1,NA,2010-10-18T05:00:00Z,2010,10,18,4u,56900, High,1.757469244288225,train
11006448,f,1,4,TWZ,07/15/2013,531015,4940037,0.03,NA,2013-07-15T05:00:00Z,2013,7,15,4u,53900, High,0.5565862708719852,train
11006449,f,1,4,TWZ,07/15/2013,531015,4940037,0.04,NA,2013-07-15T05:00:00Z,2013,7,15,4u,53900, High,0.7421150278293136,train
11006450,f,1,4,TWZ,07/15/2013,531015,4940037,0.24,NA,2013-07-15T05:00:00Z,2013,7,15,4u,53900, High,4.452690166975882,train
11006451,f,1,4,TWZ,07/15/2013,531015,4940037,0.24,NA,2013-07-15T05:00:00Z,2013,7,15,4u,53900, High,4.452690166975882,train
11007361,f,1,4,TWZ,08/29/2016,531015,4940038,0.03,NA,2016-08-29T05:00:00Z,2016,8,29,4u,59900, High,0.5008347245409015,train
11007362,f,1,4,TWZ,08/29/2016,531015,4940038,0.04,NA,2016-08-29T05:00:00Z,2016,8,29,4u,59900, High,0.667779632721202,test
11007363,f,1,4,TWZ,08/29/2016,531015,4940038,0.42,NA,2016-08-29T05:00:00Z,2016,8,29,4u,59900, High,7.0116861435726205,train
11007364,f,1,4,TWZ,08/29/2016,531015,4940038,0.42,NA,2016-08-29T05:00:00Z,2016,8,29,4u,59900, High,7.0116861435726205,train
11007235,f,1,4,TWZ,06/27/2016,531015,4940038,0.02,NA,2016-06-27T05:00:00Z,2016,6,27,4u,50700, High,0.3944773175542406,train
11007236,f,1,4,TWZ,06/27/2016,531015,4940038,0.24,NA,2016-06-27T05:00:00Z,2016,6,27,4u,50700, High,4.733727810650887,train
11007237,f,1,4,TWZ,06/27/2016,531015,4940038,0.24,NA,2016-06-27T05:00:00Z,2016,6,27,4u,50700, High,4.733727810650887,train
11007839,f,1,4,TWZ,07/25/2018,531015,4940038,0.08,NA,2018-07-25T05:00:00Z,2018,7,25,4u,62300, High,1.2841091492776886,train
11007836,f,1,4,TWZ,07/25/2018,531015,4940038,0.67,NA,2018-07-25T05:00:00Z,2018,7,25,4u,62300, High,10.754414125200642,train
11007837,f,1,4,TWZ,07/25/2018,531015,4940038,0.67,NA,2018-07-25T05:00:00Z,2018,7,25,4u,62300, High,10.754414125200642,train
11007838,f,1,4,TWZ,07/25/2018,531015,4940038,0.04,NA,2018-07-25T05:00:00Z,2018,7,25,4u,62300, High,0.6420545746388443,train
11007234,f,1,4,TWZ,06/27/2016,531015,4940038,0.02,NA,2016-06-27T05:00:00Z,2016,6,27,4u,50700, High,0.3944773175542406,test
11007638,f,1,4,TWZ,08/28/2017,531015,4940038,0.3,NA,2017-08-28T05:00:00Z,2017,8,28,4u,47600, High,6.302521008403362,train
11007639,f,1,4,TWZ,08/28/2017,531015,4940038,0.3,NA,2017-08-28T05:00:00Z,2017,8,28,4u,47600, High,6.302521008403362,train
11007642,f,1,4,TWZ,08/29/2017,531015,4940038,0.05,NA,2017-08-29T05:00:00Z,2017,8,29,4u,48100, High,1.0395010395010396,train
11007643,f,1,4,TWZ,08/29/2017,531015,4940038,0.05,NA,2017-08-29T05:00:00Z,2017,8,29,4u,48100, High,1.0395010395010396,train
11007444,f,1,4,TWZ,10/17/2016,531015,4940038,0.12,NA,2016-10-17T05:00:00Z,2016,10,17,4u,59100, High,2.030456852791878,train
11007445,f,1,4,TWZ,10/17/2016,531015,4940038,0.12,NA,2016-10-17T05:00:00Z,2016,10,17,4u,59100, High,2.030456852791878,train
11007446,f,1,4,TWZ,10/17/2016,531015,4940038,0.34,NA,2016-10-17T05:00:00Z,2016,10,17,4u,59100, High,5.752961082910321,train
11007447,f,1,4,TWZ,10/17/2016,531015,4940038,0.34,NA,2016-10-17T05:00:00Z,2016,10,17,4u,59100, High,5.752961082910321,train
11007973,f,1,4,TWZ,09/26/2018,531015,4940038,0.32,NA,2018-09-26T05:00:00Z,2018,9,26,4u,52300, High,6.118546845124283,train
11007974,f,1,4,TWZ,09/26/2018,531015,4940038,0.32,NA,2018-09-26T05:00:00Z,2018,9,26,4u,52300, High,6.118546845124283,test
11009474,f,1,4,TWZ,08/07/2024,531015,4940038,0.15,NA,2024-08-07T05:00:00Z,2024,8,7,4u,46400, High,3.2327586206896552,train
11009475,f,1,4,TWZ,08/07/2024,531015,4940038,0.12,NA,2024-08-07T05:00:00Z,2024,8,7,4u,46400, High,2.586206896551724,train
11008122,f,1,4,TWZ,07/23/2019,531015,4940038,0.07,NA,2019-07-23T05:00:00Z,2019,7,23,4u,90400, High,0.7743362831858409,train
11008123,f,1,4,TWZ,07/23/2019,531015,4940038,0.05,NA,2019-07-23T05:00:00Z,2019,7,23,4u,90400, High,0.5530973451327434,train
11008128,f,1,4,TWZ,07/23/2019,531015,4940038,0.72,NA,2019-07-23T05:00:00Z,2019,7,23,4u,90400, High,7.964601769911505,train
11008129,f,1,4,TWZ,07/23/2019,531015,4940038,0.72,NA,2019-07-23T05:00:00Z,2019,7,23,4u,90400, High,7.964601769911505,train
41025098,w,1,4,MC,05/05/2016,531029,4939707,0.05,NA,2016-05-05T05:00:00Z,2016,5,5,4u,67900, High,0.7363770250368189,train
41028280,w,1,4,MC,07/26/2019,531029,4939708,0,3,2019-07-26T05:00:00Z,2019,7,26,4u,77800, High,0,train
11000209,f,1,4,SCB,08/23/1993,531029,4939308,0.1,NA,1993-08-23T05:00:00Z,1993,8,23,4u,63800, High,1.567398119122257,train
11007247,f,1,4,MCB-U,06/28/2016,531029,4940058,0.06,NA,2016-06-28T05:00:00Z,2016,6,28,4u,50300, High,1.1928429423459244,test
11000092,f,1,4,TWZ,07/26/1993,531032,4939786,0.06,NA,1993-07-26T05:00:00Z,1993,7,26,4u,83600, High,0.7177033492822967,train
11001137,f,1,4,TWZ,09/05/1995,531032,4939786,0,NA,1995-09-05T05:00:00Z,1995,9,5,4u,50400, High,0,train
11003212,f,1,4,TWZ,07/19/2000,531032,4939786,0.05,NA,2000-07-19T05:00:00Z,2000,7,19,4u,46200, High,1.0822510822510822,train
11005855,f,1,4,TWZ,10/19/2010,531148,4939982,0.64,NA,2010-10-19T05:00:00Z,2010,10,19,4u,53700, High,11.91806331471136,train
11005844,f,1,4,TWZ,10/18/2010,531148,4939982,0.06,NA,2010-10-18T05:00:00Z,2010,10,18,4u,56900, High,1.054481546572935,train
11005845,f,1,4,TWZ,10/18/2010,531148,4939982,0.44,NA,2010-10-18T05:00:00Z,2010,10,18,4u,56900, High,7.732864674868189,train
11005846,f,1,4,TWZ,10/18/2010,531148,4939982,0.44,NA,2010-10-18T05:00:00Z,2010,10,18,4u,56900, High,7.732864674868189,train
11005843,f,1,4,TWZ,10/18/2010,531148,4939982,0.06,NA,2010-10-18T05:00:00Z,2010,10,18,4u,56900, High,1.054481546572935,train
11006452,f,1,4,TWZ,07/15/2013,531148,4939981,0.08,NA,2013-07-15T05:00:00Z,2013,7,15,4u,53900, High,1.4842300556586272,train
11006453,f,1,4,TWZ,07/15/2013,531148,4939981,0.1,NA,2013-07-15T05:00:00Z,2013,7,15,4u,53900, High,1.855287569573284,test
11006454,f,1,4,TWZ,07/15/2013,531148,4939981,0.32,NA,2013-07-15T05:00:00Z,2013,7,15,4u,53900, High,5.936920222634509,train
11006455,f,1,4,TWZ,07/15/2013,531148,4939981,0.32,NA,2013-07-15T05:00:00Z,2013,7,15,4u,53900, High,5.936920222634509,train
11007357,f,1,4,TWZ,08/29/2016,531148,4939982,0.59,NA,2016-08-29T05:00:00Z,2016,8,29,4u,59900, High,9.84974958263773,train
11007358,f,1,4,TWZ,08/29/2016,531148,4939982,0.59,NA,2016-08-29T05:00:00Z,2016,8,29,4u,59900, High,9.84974958263773,train
11007359,f,1,4,TWZ,08/29/2016,531148,4939982,0.04,NA,2016-08-29T05:00:00Z,2016,8,29,4u,59900, High,0.667779632721202,train
11007360,f,1,4,TWZ,08/29/2016,531148,4939982,0.06,NA,2016-08-29T05:00:00Z,2016,8,29,4u,59900, High,1.001669449081803,train
11007238,f,1,4,TWZ,06/27/2016,531148,4939982,0.2,NA,2016-06-27T05:00:00Z,2016,6,27,4u,50700, High,3.944773175542406,train
11007239,f,1,4,TWZ,06/27/2016,531148,4939982,0.2,NA,2016-06-27T05:00:00Z,2016,6,27,4u,50700, High,3.944773175542406,train
11007240,f,1,4,TWZ,06/27/2016,531148,4939982,0.02,NA,2016-06-27T05:00:00Z,2016,6,27,4u,50700, High,0.3944773175542406,train
11007241,f,1,4,TWZ,06/27/2016,531148,4939982,0.1,NA,2016-06-27T05:00:00Z,2016,6,27,4u,50700, High,1.972386587771203,test
11007840,f,1,4,TWZ,07/25/2018,531148,4939982,0.07,NA,2018-07-25T05:00:00Z,2018,7,25,4u,62300, High,1.1235955056179776,train
11007841,f,1,4,TWZ,07/25/2018,531148,4939982,0.09,NA,2018-07-25T05:00:00Z,2018,7,25,4u,62300, High,1.4446227929373996,train
11007842,f,1,4,TWZ,07/25/2018,531148,4939982,0.36,NA,2018-07-25T05:00:00Z,2018,7,25,4u,62300, High,5.778491171749598,train
11007843,f,1,4,TWZ,07/25/2018,531148,4939982,0.36,NA,2018-07-25T05:00:00Z,2018,7,25,4u,62300, High,5.778491171749598,train
11007849,f,1,4,TWZ,07/30/2018,531148,4939982,0.73,NA,2018-07-30T05:00:00Z,2018,7,30,4u,49900, High,14.629258517034067,train
