BARCODE,FLDNUM,POOL,MSTRATUM,DATE,EAST1,NORTH1,WATER_VEL
31015039,1,4,MCB-U,6/24/2022,531284,4940112,0.05
31015040,1,4,MCB-U,6/24/2022,531582,4940066,0.46
31015041,1,4,MCB-U,6/24/2022,531628,4939809,0.02
31015043,1,4,MCB-U,6/17/2022,535234,4937449,0.78
31015045,1,4,MCB-U,7/14/2022,541996,4934957,0.7
31015046,1,4,MCB-U,6/28/2022,543877,4934604,0.28
31015048,1,4,MCB-U,7/14/2022,542974,4934404,0.31
31015051,1,4,MCB-U,6/28/2022,544935,4934255,0.06
31015055,1,4,MCB-U,7/8/2022,545127,4934053,0
31015056,1,4,MCB-U,6/28/2022,545278,4933957,0.04
31015057,1,4,MCB-U,6/28/2022,545327,4933908,0.04
31015058,1,4,MCB-U,6/28/2022,545478,4933811,0.1
31015060,1,4,MCB-L,7/22/2022,573620,4916957,0.16
31015063,1,4,MCB-L,7/7/2022,577331,4915202,0.13
31015064,1,4,MCB-L,7/12/2022,578930,4914710,0.37
31015065,1,4,MCB-L,7/12/2022,578274,4914404,0.26
31015066,1,4,MCB-L,7/12/2022,579625,4913950,0.29
31015067,1,4,MCB-L,7/12/2022,581332,4913460,0.28
31015068,1,4,MCB-L,7/12/2022,581423,4913406,0.28
31015069,1,4,MCB-L,7/12/2022,581780,4913357,0.26
31015070,1,4,MCB-L,7/12/2022,581922,4913307,0.27
31015071,1,4,MCB-L,7/12/2022,582183,4913252,0.26
31015072,1,4,MCB-L,7/12/2022,582024,4912861,0.31
31015073,1,4,MCB-L,7/12/2022,582085,4912801,0.36
31015074,1,4,MCB-L,7/12/2022,582783,4912255,0.32
31015075,1,4,MCB-L,7/12/2022,582980,4911906,0.29
31015079,1,4,MCB-L,7/12/2022,583933,4910203,0.24
31015080,1,4,MCB-L,7/20/2022,584780,4910105,0.19
31015081,1,4,MCB-L,7/12/2022,583926,4910058,0.24
31015082,1,4,MCB-L,7/12/2022,584033,4910045,0.12
31015083,1,4,MCB-L,7/6/2022,585339,4910029,0
31015085,1,4,MCB-L,7/12/2022,584382,4909758,0.27
31015086,1,4,MCB-L,7/12/2022,584278,4909664,0.03
31015087,1,4,MCB-L,7/12/2022,585236,4909658,0.38
31015088,1,4,MCB-L,7/6/2022,585427,4909556,0.32
31015089,1,4,SC-U,6/17/2022,535600,4937800,0.53
31015090,1,4,SC-U,6/17/2022,535876,4937507,0.55
31015091,1,4,SC-U,6/24/2022,538118,4937206,0.01
31015092,1,4,SC-U,6/24/2022,538338,4937004,0.43
31015093,1,4,SC-U,6/17/2022,537433,4936953,0.35
31015094,1,4,SC-U,6/17/2022,537336,4936907,0.53
31015095,1,4,SC-U,7/15/2022,539478,4936451,0.29
31015096,1,4,SC-U,7/15/2022,539630,4936354,0.39
31015097,1,4,SC-U,7/18/2022,539774,4936359,0.04
31015098,1,4,SC-U,7/15/2022,539534,4936350,0.35
31015100,1,4,SC-U,7/15/2022,540633,4936356,0.23
31015101,1,4,SC-U,7/15/2022,540679,4936356,0.15
31015103,1,4,SC-U,7/15/2022,538781,4936206,0.17
31015107,1,4,SC-U,6/29/2022,539178,4935556,0.01
31015108,1,4,SC-U,6/29/2022,540989,4935507,0.03
